strategy,family,score,dev_sharpe,holdout_sharpe,dev_cagr,holdout_cagr,max_drawdown,calmar,psr,annual_turnover,top_name_share,stability,degradation,fails_pre_ai_rally,stressed_sharpe,cost_fragile,verdict,tier,tier_reason
"DonchianBreakout(entry_window=55,exit_window=20,max_positions=6,regime_filter=True)",breakout,0.217,-0.21,0.81,-0.056,0.3211,-0.917,-0.06,0.26,176.47,0.18,0.5,0.0,False,-0.9745552204468982,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
BuyAndHold(ticker=SNPS),benchmark,0.086,0.48,-0.12,0.1365,-0.1403,-0.61,0.22,0.997,0.04,1.0,0.75,0.6,False,0.47814652645742106,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=PALM),benchmark,-0.187,0.1,-0.09,0.0037,0.0434,-0.85,0.0,0.805,0.07,1.0,1.0,0.19,False,0.09772489754636816,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"ValuationAwareGrowth(history_days=756,max_ps_own_pct=0.7,rebalance=QE,top_n=8)",fundamental,-0.23,0.02,-0.01,0.0123,-0.002,-0.729,0.02,0.787,0.61,1.07,0.88,0.03,False,0.013062884308428072,False,rejected,B,fundamental data quality not yet independently audited
BuyAndHold(ticker=NOW),benchmark,-0.242,0.59,-0.24,0.1565,-0.1657,-0.513,0.31,1.0,0.04,1.0,0.88,0.83,False,0.589905671621986,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=ISRG),benchmark,-0.38,0.63,-0.25,0.2291,-0.0964,-0.823,0.28,1.0,0.04,1.0,0.75,0.88,False,0.6275453595086575,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=WDAY),benchmark,-0.518,0.33,-0.28,0.0752,-0.1587,-0.577,0.13,0.983,0.04,1.0,0.88,0.61,False,0.3300854168768078,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=SPLK),benchmark,-0.778,0.32,-0.3,0.0742,0.0434,-0.696,0.11,0.977,0.07,1.0,0.75,0.62,False,0.31943859212430453,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=CRM),benchmark,-0.893,0.57,-0.37,0.1757,-0.1493,-0.705,0.25,0.999,0.04,1.0,0.75,0.94,False,0.5685720158155972,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=SGI),benchmark,-1.071,0.04,-0.3,-0.008,0.0434,-0.893,-0.01,0.721,0.07,1.0,0.88,0.34,False,0.03915721325716854,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"DonchianBreakout(entry_window=20,exit_window=20,max_positions=6,regime_filter=True)",breakout,-1.072,-0.38,0.34,-0.0965,0.1039,-0.969,-0.1,0.061,213.24,0.14,0.5,0.0,False,-1.2855885221570889,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"RSIReversion(entry=10,exit=60,max_positions=5,rsi_window=2,trend_window=200)",meanrev,-1.17,0.57,-0.09,0.1643,-0.0661,-0.685,0.24,0.999,278.6,0.09,0.75,0.66,False,-0.3575138226988662,True,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"RSIReversion(entry=5,exit=60,max_positions=5,rsi_window=2,trend_window=200)",meanrev,-1.223,0.58,-0.11,0.1663,-0.0739,-0.705,0.24,1.0,275.63,0.1,0.75,0.68,False,-0.3528552259188505,True,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
BuyAndHold(ticker=INTU),benchmark,-1.699,0.57,-0.74,0.1915,-0.2887,-0.725,0.26,0.999,0.04,1.0,0.88,1.31,False,0.5736984673824794,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=VMW),benchmark,-1.787,0.29,-0.64,0.0617,0.0434,-0.857,0.07,0.963,0.07,1.0,0.88,0.93,False,0.28715087755605506,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=XLNX),benchmark,-2.037,0.47,-0.67,0.1386,0.0434,-0.86,0.16,0.996,0.07,1.0,0.62,1.14,False,0.4674616741679166,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=BRCM),benchmark,-2.493,-0.17,-1.09,0.019,0.0434,-0.078,0.24,1.0,0.07,1.0,1.0,0.92,False,-0.18234108541992006,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=TTD),benchmark,-2.689,0.5,-0.98,0.1522,-0.5522,-0.643,0.24,0.999,0.04,1.0,0.75,1.48,False,0.5023628255391916,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=ADBE),benchmark,-2.733,0.58,-0.99,0.193,-0.3184,-0.799,0.24,0.999,0.04,1.0,0.62,1.57,False,0.5774762595044571,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=JDSU),benchmark,-4.563,0.16,-1.44,-0.0417,0.0434,-0.998,-0.04,0.846,0.07,1.0,0.75,1.61,False,0.1598851619710291,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
